Nodes,Edges,Time,MarkedNodes,Seed
125,400,0.008245594999999994,"[125, 125, 125]",1644343304398
125,800,0.008560816000000138,"[125, 125, 125]",1644343304398
125,1600,0.010987296999999785,"[125, 125, 125]",1644343304398
125,3200,0.01152357699999973,"[125, 125, 125]",1644343304398
125,6400,0.012072056000000053,"[125, 125, 125]",1644343304398
250,400,0.02042355000000029,"[242, 242, 242]",1644343304398
250,800,0.020531843000000105,"[249, 249, 249]",1644343304398
250,1600,0.021475182000000093,"[250, 250, 250]",1644343304398
250,3200,0.019364535999999877,"[250, 250, 250]",1644343304398
250,6400,0.023744200999999965,"[250, 250, 250]",1644343304398
500,800,0.04162306800000026,"[477, 477, 477]",1644343304398
500,1600,0.044487435999999825,"[500, 500, 500]",1644343304398
500,3200,0.04385020899999992,"[500, 500, 500]",1644343304398
500,6400,0.04677408899999991,"[500, 500, 500]",1644343304398
1000,1600,0.08642564800000008,"[966, 966, 966]",1644343304398
1000,3200,0.08967230000000015,"[1000, 1000, 1000]",1644343304398
1000,6400,0.09220760200000022,"[1000, 1000, 1000]",1644343304398
2000,3200,0.16884082999999972,"[1914, 1914, 1914]",1644343304398
2000,6400,0.1883020499999999,"[1997, 1997, 1997]",1644343304398
